sku,current_stock
SKU-00146,-2128.0
SKU-00055,-2000.0
SKU-00085,-1400.0
SKU-00080,-1064.0
SKU-95681,-513.0
SKU-94243,-510.0
SKU-95613,-492.0
SKU-00027,-456.0
SKU-96512,-456.0
SKU-92114,-387.0
SKU-97548,-384.0
SKU-98333,-375.0
SKU-98287,-327.0
SKU-95625,-318.0
SKU-93412,-300.0
SKU-93654,-300.0
SKU-98203,-300.0
SKU-97560,-300.0
SKU-99522,-300.0
SKU-98387,-300.0
SKU-91871,-300.0
SKU-94610,-300.0
SKU-97410,-300.0
SKU-98507,-297.0
SKU-95195,-297.0
SKU-90898,-297.0
SKU-92187,-297.0
SKU-99690,-297.0
SKU-97452,-297.0
SKU-94078,-297.0
SKU-91706,-297.0
SKU-96796,-297.0
SKU-98615,-297.0
SKU-93333,-294.0
SKU-93613,-294.0
SKU-98590,-294.0
SKU-95037,-294.0
SKU-97234,-294.0
SKU-91007,-294.0
SKU-92458,-294.0
SKU-90225,-294.0
SKU-90711,-291.0
SKU-96295,-291.0
SKU-91000,-291.0
SKU-96436,-291.0
SKU-97035,-291.0
SKU-96247,-288.0
SKU-93747,-288.0
SKU-98462,-288.0
SKU-98597,-288.0
SKU-92004,-288.0
SKU-96962,-285.0
SKU-97141,-285.0
SKU-91482,-285.0
SKU-93463,-285.0
SKU-92102,-285.0
SKU-98289,-282.0
SKU-92241,-282.0
SKU-99565,-282.0
SKU-97111,-282.0
SKU-94661,-282.0
SKU-92628,-279.0
SKU-93495,-279.0
SKU-96008,-279.0
SKU-96189,-279.0
SKU-93799,-279.0
SKU-98821,-276.0
SKU-96582,-276.0
SKU-94017,-276.0
SKU-91110,-276.0
SKU-90389,-276.0
SKU-95777,-273.0
SKU-98327,-273.0
SKU-95666,-273.0
SKU-94159,-273.0
SKU-90828,-273.0
SKU-91914,-273.0
SKU-90646,-273.0
SKU-98896,-270.0
SKU-94700,-270.0
SKU-99471,-270.0
SKU-99512,-270.0
SKU-96860,-270.0
SKU-96813,-270.0
SKU-90229,-267.0
SKU-97817,-267.0
SKU-98095,-267.0
SKU-90348,-267.0
SKU-91538,-267.0
SKU-93096,-267.0
SKU-99919,-264.0
SKU-96831,-264.0
SKU-90197,-264.0
SKU-00147,-264.0
SKU-90324,-264.0
SKU-92636,-264.0
SKU-92402,-264.0
SKU-98718,-264.0
SKU-97044,-264.0
SKU-91953,-264.0
SKU-92886,-261.0
SKU-91074,-261.0
SKU-94888,-261.0
SKU-96074,-261.0
SKU-93589,-261.0
SKU-95214,-261.0
SKU-91986,-261.0
SKU-91099,-261.0
SKU-95295,-261.0
SKU-91426,-261.0
SKU-92570,-261.0
SKU-92498,-261.0
SKU-93899,-258.0
SKU-99642,-258.0
SKU-98947,-258.0
SKU-96992,-258.0
SKU-94233,-255.0
SKU-98152,-255.0
SKU-94826,-255.0
SKU-90468,-255.0
SKU-96517,-255.0
SKU-96020,-252.0
SKU-92728,-252.0
SKU-92480,-252.0
SKU-90117,-252.0
SKU-97620,-252.0
SKU-99772,-249.0
SKU-98945,-249.0
SKU-99543,-249.0
SKU-92248,-246.0
SKU-90612,-246.0
SKU-90836,-246.0
SKU-95027,-246.0
SKU-96216,-246.0
SKU-92138,-246.0
SKU-93785,-246.0
SKU-98309,-243.0
SKU-95394,-243.0
SKU-98698,-243.0
SKU-96110,-243.0
SKU-90406,-240.0
SKU-96652,-240.0
SKU-91825,-240.0
SKU-92067,-240.0
SKU-95299,-240.0
SKU-95989,-240.0
SKU-94895,-240.0
SKU-96863,-237.0
SKU-99195,-237.0
SKU-98529,-237.0
SKU-97530,-237.0
SKU-97559,-237.0
SKU-96609,-237.0
SKU-92941,-237.0
SKU-97538,-237.0
SKU-90113,-237.0
SKU-93607,-237.0
SKU-91323,-234.0
SKU-92934,-234.0
SKU-99883,-234.0
SKU-97082,-234.0
SKU-92087,-234.0
SKU-97091,-234.0
SKU-92254,-231.0
SKU-91525,-231.0
SKU-91753,-231.0
SKU-95168,-231.0
SKU-91686,-228.0
SKU-97533,-228.0
SKU-99422,-228.0
SKU-91461,-228.0
SKU-96750,-228.0
SKU-96405,-225.0
SKU-98302,-225.0
SKU-93097,-225.0
SKU-95134,-225.0
SKU-91275,-222.0
SKU-94794,-222.0
SKU-90358,-222.0
SKU-94581,-222.0
SKU-90839,-222.0
SKU-90314,-222.0
SKU-96722,-222.0
SKU-96386,-222.0
SKU-98568,-222.0
SKU-94439,-222.0
SKU-93343,-222.0
SKU-95523,-219.0
SKU-96326,-219.0
SKU-97043,-219.0
SKU-95363,-219.0
SKU-94000,-219.0
SKU-98693,-219.0
SKU-97061,-216.0
SKU-96625,-216.0
SKU-91543,-216.0
SKU-97590,-216.0
SKU-95888,-216.0
SKU-93537,-216.0
SKU-92242,-216.0
SKU-92223,-213.0
SKU-96254,-213.0
SKU-90960,-213.0
SKU-95954,-213.0
SKU-91045,-213.0
SKU-92315,-213.0
SKU-98735,-210.0
SKU-95518,-210.0
SKU-95437,-210.0
SKU-92852,-210.0
SKU-97293,-207.0
SKU-95840,-207.0
SKU-99775,-207.0
SKU-98893,-207.0
SKU-93709,-207.0
SKU-92509,-204.0
SKU-98246,-204.0
SKU-98273,-204.0
SKU-99828,-204.0
SKU-91870,-204.0
SKU-94968,-204.0
SKU-95004,-204.0
SKU-95456,-201.0
SKU-93168,-201.0
SKU-96062,-201.0
SKU-93451,-201.0
SKU-98209,-201.0
SKU-90941,-201.0
SKU-98386,-198.0
SKU-90476,-198.0
SKU-97344,-198.0
SKU-98311,-198.0
SKU-96548,-198.0
SKU-93464,-198.0
SKU-96655,-198.0
SKU-98708,-195.0
SKU-93340,-195.0
SKU-99532,-195.0
SKU-96035,-195.0
SKU-90700,-195.0
SKU-92867,-195.0
SKU-95950,-192.0
SKU-90408,-192.0
SKU-98129,-192.0
SKU-91868,-192.0
SKU-92253,-192.0
SKU-98348,-192.0
SKU-99338,-192.0
SKU-92204,-189.0
SKU-93861,-189.0
SKU-98230,-189.0
SKU-95952,-189.0
SKU-90440,-186.0
SKU-92193,-186.0
SKU-95875,-186.0
SKU-99186,-186.0
SKU-92960,-186.0
SKU-91167,-183.0
SKU-95846,-183.0
SKU-90042,-183.0
SKU-95432,-180.0
SKU-93287,-180.0
SKU-91170,-180.0
SKU-94191,-180.0
SKU-98149,-180.0
SKU-95781,-180.0
SKU-98552,-180.0
SKU-98624,-180.0
SKU-92432,-180.0
SKU-94409,-180.0
SKU-93026,-177.0
SKU-95494,-177.0
SKU-92344,-177.0
SKU-90577,-177.0
SKU-93548,-177.0
SKU-96566,-177.0
SKU-91999,-177.0
SKU-91563,-174.0
SKU-90171,-174.0
SKU-97121,-174.0
SKU-92626,-174.0
SKU-96775,-174.0
SKU-92101,-174.0
SKU-95270,-174.0
SKU-98114,-171.0
SKU-91118,-171.0
SKU-96268,-171.0
SKU-91294,-171.0
SKU-90085,-171.0
SKU-94843,-168.0
SKU-90754,-168.0
SKU-96965,-168.0
SKU-95091,-165.0
SKU-92966,-165.0
SKU-98671,-165.0
SKU-93690,-165.0
SKU-97062,-165.0
SKU-97847,-165.0
SKU-92947,-165.0
SKU-92418,-165.0
SKU-94358,-162.0
SKU-92689,-162.0
SKU-97627,-162.0
SKU-97225,-162.0
SKU-96301,-162.0
SKU-94467,-162.0
SKU-91841,-162.0
SKU-99212,-162.0
SKU-90834,-159.0
SKU-94498,-159.0
SKU-95158,-159.0
SKU-92634,-159.0
SKU-91995,-156.0
SKU-96226,-156.0
SKU-92348,-156.0
SKU-92647,-153.0
SKU-96701,-153.0
