sku,current_stock,min_stock,label,category,stock_status
SKU-00238,5418.0,43,L'avantage de rouler à sa source,CLOTHING,OK
SKU-00228,8064.0,49,L'avantage de changer plus rapidement,OTHER,OK
SKU-00369,8412.0,21,La liberté d'innover naturellement,ELEC,OK
SKU-00361,8808.0,43,Le confort d'atteindre vos buts à la pointe,CLOTHING,OK
SKU-00268,9150.0,45,L'assurance de changer de manière sûre,ELEC,OK
SKU-00249,9288.0,48,Le plaisir d'atteindre vos buts plus rapidement,TOOLS,OK
SKU-00379,9438.0,6,L'avantage de louer de manière efficace,TOOLS,OK
SKU-00483,9678.0,40,L'avantage d'évoluer de manière sûre,CLOTHING,OK
SKU-00367,9786.0,6,La liberté de changer de manière sûre,OTHER,OK
SKU-00478,9990.0,35,Le confort d'avancer naturellement,ELEC,OK
SKU-00020,10574.0,29,L'avantage d'avancer autrement,ELEC,OK
SKU-00032,10583.0,38,Le plaisir d'évoluer plus facilement,CLOTHING,OK
SKU-00490,10746.0,47,Le pouvoir d'évoluer à l'état pur,TOOLS,OK
SKU-00041,10939.0,38,Le plaisir de concrétiser vos projets de manière sûre,ELEC,OK
SKU-00263,11034.0,44,L'assurance de concrétiser vos projets à l'état pur,TOOLS,OK
SKU-00461,11064.0,29,Le confort de rouler en toute tranquilité,OTHER,OK
SKU-00109,11093.0,39,L'assurance d'atteindre vos buts avant-tout,OTHER,OK
SKU-00467,11130.0,28,Le plaisir d'évoluer de manière efficace,ELEC,OK
SKU-00047,11148.0,16,Le confort d'avancer sans soucis,OTHER,OK
SKU-00460,11148.0,12,Le pouvoir de rouler sans soucis,TOOLS,OK
SKU-00258,11298.0,42,La liberté de rouler plus rapidement,CLOTHING,OK
SKU-00373,11322.0,5,L'art d'évoluer avant-tout,CLOTHING,OK
SKU-00115,11339.0,12,Le droit d'avancer sans soucis,CLOTHING,OK
SKU-00259,11406.0,26,Le pouvoir d'atteindre vos buts naturellement,OTHER,OK
SKU-00357,11424.0,28,La possibilité d'atteindre vos buts de manière sûre,OTHER,OK
SKU-00428,11622.0,29,La liberté d'avancer à la pointe,FOOD,OK
SKU-00198,11637.0,21,Le confort de changer à la pointe,OTHER,OK
SKU-00211,11658.0,16,Le plaisir d'innover avant-tout,TOOLS,OK
SKU-00421,11688.0,49,La liberté d'avancer plus facilement,FOOD,OK
SKU-00325,11724.0,0,La liberté de concrétiser vos projets à sa source,FOOD,OK
SKU-00029,11903.0,5,Le droit de rouler plus rapidement,ELEC,OK
SKU-00251,11934.0,11,La liberté d'avancer autrement,CLOTHING,OK
SKU-00277,11976.0,29,La possibilité d'avancer autrement,OTHER,OK
SKU-00380,12018.0,9,L'assurance de concrétiser vos projets sans soucis,OTHER,OK
SKU-00234,12102.0,10,L'assurance de rouler plus facilement,ELEC,OK
SKU-00370,12108.0,26,La liberté d'atteindre vos buts en toute tranquilité,CLOTHING,OK
SKU-00332,12114.0,8,Le droit de louer de manière sûre,CLOTHING,OK
SKU-00088,12168.0,4,Le confort d'avancer en toute tranquilité,OTHER,OK
SKU-00374,12210.0,27,L'art d'atteindre vos buts plus facilement,FOOD,OK
SKU-00335,12234.0,23,L'art d'avancer plus rapidement,CLOTHING,OK
